	Season	Age	Tm	Lg	Pos	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	Player
88	2013-14	25	OKC	NBA	SF	81	81	38.5	10.5	20.8	.503	2.4	6.1	.391	8.1	14.8	.549	.560	8.7	9.9	.873	0.7	6.7	7.4	5.5	1.3	0.7	3.5	2.1	32.0	Kevin Durant
89	2014-15	26	OKC	NBA	SF	27	27	33.8	8.8	17.3	.510	2.4	5.9	.403	6.4	11.4	.565	.578	5.4	6.3	.854	0.6	6.0	6.6	4.1	0.9	0.9	2.7	1.5	25.4	Kevin Durant
90	2015-16	27	OKC	NBA	SF	72	72	35.8	9.7	19.2	.505	2.6	6.7	.387	7.1	12.5	.569	.573	6.2	6.9	.898	0.6	7.6	8.2	5.0	1.0	1.2	3.5	1.9	28.2	Kevin Durant
91	2016-17	28	GSW	NBA	PF	62	62	33.4	8.9	16.5	.537	1.9	5.0	.375	7.0	11.5	.608	.594	5.4	6.2	.875	0.6	7.6	8.3	4.8	1.1	1.6	2.2	1.9	25.1	Kevin Durant
92	2017-18	29	GSW	NBA	PF	68	68	34.2	9.3	18.0	.516	2.5	6.1	.419	6.7	11.9	.565	.586	5.3	5.9	.889	0.5	6.4	6.8	5.4	0.7	1.8	3.0	2.0	26.4	Kevin Durant
93	2018-19	30	GSW	NBA	PF	11	11	35.0	10.3	18.2	.565	1.5	4.0	.386	8.7	14.2	.615	.608	5.6	6.1	.925	0.2	7.4	7.5	5.9	0.9	0.6	2.5	1.5	27.7	Kevin Durant
94	2015-16	19	GSW	NBA	PF	5	0	4.2	0.8	1.4	.571	0.2	0.4	.500	0.6	1.0	.600	.643	0.0	0.0		0.8	1.2	2.0	0.0	0.0	0.0	0.2	0.4	1.8	Kevon Looney
95	2016-17	20	GSW	NBA	C	53	4	8.4	1.1	2.0	.523	0.0	0.2	.222	1.0	1.8	.551	.533	0.4	0.6	.618	0.8	1.5	2.3	0.5	0.3	0.3	0.3	1.2	2.5	Kevon Looney
96	2017-18	21	GSW	NBA	C	66	4	13.8	1.7	2.9	.580	0.0	0.1	.200	1.7	2.8	.590	.583	0.6	1.2	.545	1.3	2.0	3.3	0.6	0.5	0.8	0.5	1.6	4.0	Kevon Looney
97	2018-19	22	GSW	NBA	C	11	0	16.9	2.5	3.7	.659	0.0	0.0		2.5	3.7	.659	.659	1.0	1.5	.688	2.3	2.8	5.1	1.4	0.3	0.6	0.7	2.0	5.9	Kevon Looney
98	2009-10	22	DET	NBA	PF	80	73	27.9	3.6	7.5	.481	0.5	1.4	.313	3.2	6.1	.520	.511	1.6	2.2	.710	2.4	3.6	6.0	0.7	1.0	0.4	1.0	2.9	9.3	Jonas Jerebko
99	2010-11	23	Did Not Play (injury—achilles)																												Jonas Jerebko
100	2011-12	24	DET	NBA	PF	64	13	22.9	3.3	7.1	.468	0.5	1.7	.302	2.8	5.4	.519	.503	1.6	1.9	.806	1.5	3.3	4.8	0.7	0.6	0.3	1.0	2.5	8.7	Jonas Jerebko
101	2012-13	25	DET	NBA	PF	49	2	18.2	2.9	6.4	.449	0.5	1.7	.301	2.4	4.8	.502	.489	1.4	1.8	.773	1.4	2.4	3.8	0.9	0.8	0.2	0.9	1.8	7.7	Jonas Jerebko
102	2013-14	26	DET	NBA	PF	64	0	11.6	1.5	3.3	.471	0.5	1.2	.419	1.0	2.1	.500	.546	0.7	0.9	.729	0.8	1.9	2.7	0.6	0.3	0.1	0.7	1.3	4.2	Jonas Jerebko
103	2014-15	27	TOT	NBA	PF	75	0	16.4	2.3	5.1	.446	0.7	1.9	.386	1.5	3.2	.481	.517	0.7	0.9	.848	1.2	2.5	3.8	0.9	0.6	0.2	0.6	1.8	6.0	Jonas Jerebko
104	2014-15	27	DET	NBA	PF	46	0	15.3	2.0	4.3	.460	0.6	1.7	.368	1.4	2.7	.516	.530	0.7	0.8	.861	1.0	2.1	3.1	0.9	0.6	0.2	0.6	1.7	5.2	Jonas Jerebko
105	2014-15	27	BOS	NBA	PF	29	0	18.2	2.7	6.2	.431	0.9	2.2	.406	1.8	4.0	.444	.503	0.9	1.0	.833	1.6	3.2	4.8	1.0	0.7	0.2	0.6	2.0	7.1	Jonas Jerebko
106	2015-16	28	BOS	NBA	PF	78	0	15.1	1.5	3.7	.413	0.6	1.4	.398	1.0	2.3	.421	.488	0.8	1.0	.782	1.0	2.7	3.7	0.8	0.3	0.3	0.7	1.8	4.4	Jonas Jerebko
107	2016-17	29	BOS	NBA	PF	78	6	15.8	1.5	3.4	.435	0.6	1.7	.346	0.9	1.7	.523	.521	0.3	0.5	.703	0.8	2.7	3.5	0.9	0.3	0.2	0.5	1.6	3.8	Jonas Jerebko
108	2017-18	30	UTA	NBA	PF	74	19	15.3	2.1	4.6	.466	0.9	2.1	.414	1.3	2.5	.511	.562	0.6	0.8	.807	0.7	2.6	3.3	0.6	0.3	0.2	0.4	1.7	5.8	Jonas Jerebko
109	2018-19	31	GSW	NBA	PF	11	0	16.5	2.3	4.7	.481	1.1	2.4	.462	1.2	2.4	.500	.596	1.5	1.8	.850	0.9	3.5	4.5	1.6	0.5	0.2	0.7	2.5	7.2	Jonas Jerebko
110	2017-18	25	ATL	NBA	SG	15	11	26.9	4.1	10.1	.408	1.0	4.0	.250	3.1	6.1	.511	.457	1.5	1.9	.759	0.7	4.0	4.7	1.9	1.3	0.1	0.9	1.7	10.7	Damion Lee
111	2018-19	26	GSW	NBA	SG	2	0	3.0	0.0	1.5	.000	0.0	0.5	.000	0.0	1.0	.000	.000	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.5	2.0	0.0	Damion Lee
112	2017-18	25	TOR	NBA	SF	14	0	3.8	0.6	1.1	.533	0.2	0.6	.333	0.4	0.4	.833	.633	0.1	0.2	.667	0.1	0.4	0.5	0.1	0.1	0.1	0.2	0.6	1.5	Alfonzo McKinnie
113	2018-19	26	GSW	NBA	SF	11	0	14.7	2.7	4.7	.577	1.1	1.8	.600	1.6	2.9	.563	.692	0.3	0.7	.375	1.5	2.6	4.1	0.5	0.2	0.2	0.4	2.2	6.8	Alfonzo McKinnie
